iter	Logloss
0	0.6919657321
1	0.6908257246
2	0.6897207901
3	0.6887209784	4	0.6876876789
5	0.6868498624
6	0.6860493617	7	0.6851614328	8	0.684369499	09	0.6835913710	10	0.6828111211	11	0.682124041212	0.6814771521313	0.6808338941414	0.680328994115	0.6797331689116	0.679288919
17	0.6787666016
18	0.6782028464
19	0.677826414
20	0.6773946919
21	0.6769622968
22	0.6765853594
23	0.6761960934
24	0.6757617851225	0.6754348005226	0.6751066243227	0.6748745072228	0.6745306849229	0.6742695675330	0.6739440087331	0.6736326638332	0.6733832207333	0.6730503369334	0.6727922527335	0.6726351659336	0.6724083191337	0.6721212854338	0.6718217381339	0.6716250999440	0.6713984794441	0.6711623027442	0.6709195345443	0.6707871599444	0.6705488988445	0.6703652712446	0.6702013346447	0.6700424689448	0.6698926209449	0.6696912955550	0.669487241
51	0.6692978371
52	0.6691796762
53	0.6690512777
54	0.6688728486
55	0.668746923
56	0.6685869029
57	0.6684315199
58	0.6682905083
59	0.6680990223
60	0.6679833915
61	0.667806543
62	0.6677090587
63	0.6675727188
64	0.6674581444
65	0.6673329046
66	0.66723238
67	0.667126182
68	0.6669729177
69	0.6668969648
70	0.666843131
71	0.6667437471
72	0.6666366193
73	0.6664962944
74	0.6663935325
75	0.6663012612
76	0.6661700808
77	0.6660627867
78	0.6659478948
79	0.6658509449
80	0.6657387558
81	0.6656272731
82	0.6655241468
83	0.6654482012
84	0.6653801347
85	0.6651985548
86	0.6651327543
87	0.6650366692
88	0.6649647428
89	0.6648713218
90	0.6648242246
91	0.6648104824
92	0.6647443146
93	0.6645967579
94	0.6644407203
95	0.6643547687
96	0.6642741321
97	0.6641864801
98	0.6640780207
99	0.6640331344
100	0.6640226184
101	0.6639339979
102	0.6638424537
103	0.6637599899
104	0.6637034743
105	0.66362792
106	0.6635388005
107	0.6634867108
108	0.6634139549
109	0.6633340057
110	0.6632617162
111	0.6631582439
112	0.6630534435
113	0.6629963653
114	0.6628755032
115	0.6628009904
116	0.6627454484
117	0.6626743014
118	0.6626445473
119	0.6625691251
120	0.6624752006
121	0.6623508578
122	0.6622951221
123	0.6622360499
124	0.6621785153
125	0.6621014934
126	0.6620270264
127	0.6619073996
128	0.6618926549
129	0.6618074374
130	0.6617142149
131	0.6616327277
132	0.6615419145
133	0.6614910462
134	0.6613854662
135	0.6613486284
136	0.6612710283
137	0.6611649409
138	0.661049449
139	0.6609911932
140	0.6609505324
141	0.6608880895
142	0.6608045894
143	0.6607132931
144	0.6606474436
145	0.6605888926
146	0.6605250986
147	0.6603737209
148	0.6603259078
149	0.6602861377
150	0.6602067617
151	0.6600854933
152	0.6600184884
153	0.6600183288
154	0.6600147743
155	0.6599247081
156	0.6598760754
157	0.6598100784
158	0.6596914013
159	0.6596006729
160	0.659513937
161	0.6593514401
162	0.6592436289
163	0.6591993222
164	0.6591451547
165	0.6590853771
166	0.6590139558
167	0.6589444045
168	0.6588508516
169	0.6588032399
170	0.6587277661
171	0.658629122
172	0.6586037559
173	0.6585438449
174	0.6584171963
175	0.6583369717
176	0.6582826296
177	0.6582174783
178	0.6580708967
179	0.657964658
180	0.6578725926
181	0.6577573122
182	0.6576849272
183	0.6575692311
184	0.6574693057
185	0.6574107621
186	0.6573263037
187	0.6573021726
188	0.6572594818
189	0.6572581568
190	0.6571341355
191	0.6570453136
192	0.656954658
193	0.6569002499
194	0.6568028475
195	0.6566964824
196	0.656669855
197	0.6565582686
198	0.6564873261
199	0.656448531
200	0.6563450325
201	0.6562567251
202	0202	0.654517203	0203	0.654489204	0204	0.654410205	0205	0.654308206	0206	0.654245207	0207	0.6541435657
208	0.6540601369
209	0.653961802
210	0.6538663205
211	0.6538076374
212	0.6537166726
213	0.6536461947
214	0.6535343847
215	0.6535005199
216	0.6534416781
217	0.6534373767
218	0.6533562408
219	0.6532806222
220	0.6532220455
221	0.6531653371
222	0.6531028669
223	0.6530998633
224	0.6530518641
225	0.6529411691
226	0.6527883222
227	0.6527168613
228	0.6526164527
229	0.6525374433
230	0.6525326839
231	0.6524758147
232	0.6524392996
233	0.6523398918
234	0.6522917848
235	0.652224552
236	0.6521535557
237	0.6520888786
238	0.6520327318
239	0.6519608697
240	0.6518519077
241	0.6518518441
242	0.6518177707
243	0.6517648281
244	0.6516416245
245	0.6515311513
246	0.6515007828
247	0.6513729825
248	0.6513082187
249	0.6511982891
250	0.6511220773
251	0.6510662765
252	0.6510589821
253	0.6510036483
254	0.6508950066
255	0.650839724
256	0.6507714698
257	0.6507505804
258	0.6506638785
259	0.6506056197
260	0.6505772367
261	0.6504420909
262	0.650379278
263	0.6502892953
264	0.6501675038
265	0.650123668
266	0.650066513
267	0.6500639155
268	0.649989351
269	0.6499544741
270	0.6498542238
271	0.6497319453
272	0.6496731937
273	0.6496364353
274	0.6495751175
275	0.6495313646
276	0.6494941762
277	0.649403434
278	0.6493448036
279	0.6492626624
280	0.6491970863
281	0.6491508898
282	0.649124645
283	0.649022756
284	0.648895001
285	0.6488375764
286	0.6487549812
287	0.6487169817
288	0.6486645309
289	0.6486130421
290	0.6485241064
291	0.6484307539
292	0.6483706655
293	0.6482733049
294	0.6481930524
295	0.6480971973
296	0.6480801862
297	0.6479223143
298	0.6479175872
299	0.647823399
300	0.6477377428
301	0.6476853985
302	0.6476466415
303	0.6475749468
304	0.6475069835
305	0.647414571
306	0.647355647
307	0.6472968794
308	0.6471913166
309	0.6471167779
310	0.6470591182
311	0.6469887039
312	0.6469427315
313	0.6467963239
314	0.6467122047
315	0.6466305991
316	0.646543418
317	0.6464659646
318	0.6464123162
319	0.6463796433
320	0.6463071514
321	0.6462041628
322	0.6461621325
323	0.6460806998
324	0.6459880202
325	0.6458997486
326	0.6458639777
327	0.6457947132
328	0.6457172555
329	0.645656965
330	0.6455638124
331	0.6455138529
332	0.6454382671
333	0.6453533927
334	0.6453023782
335	0.645236782
336	0.6451433705
337	0.6450559436
338	0.6450112786
339	0.6449186211
340	0.6448445588
341	0.6447440575
342	0.6446558056
343	0.6445938286
344	0.6445196215
345	0.6444491984
346	0.6443373871
347	0.6442885421
348	0.6442498309
349	0.6442375462
350	0.6441537686
351	0.6440679715
352	0.6439993452
353	0.6439346276
354	0.6438413942
355	0.6437541418
356	0.6436797805
357	0.6435945158
358	0.6435245376
359	0.6434506644
360	0.6433712848
361	0.6433155675
362	0.6431890842
363	0.6431385086
364	0.6430863283
365	0.6430328884
366	0.6429782032
367	0.6428973447
368	0.6428215178
369	0.642680866
370	0.642613973
371	0.6425275483
372	0.6424470758
373	0.6423997536
374	0.6423560631
375	0.6422964236
376	0.6421194454
377	0.6420380149
378	0.6419338724
379	0.6418627128
380	0.6417381951
381	0.641661803
382	0.6416043344
383	0.6415337216
384	0.6414557742
385	0.6413483492
386	0.6412790953
387	0.6412403286
388	0.6412004592
389	0.6411182923
390	0.6410401872
391	0.6409936348
392	0.6409276136
393	0.6408226919
394	0.6407788257
395	0.6406957728
396	0.6405692464
397	0.6405281994
398	0.6404755353
399	0.6404232808
400	0.6403410646
401	0.6402634988
402	0.6401661821
403	0.640121829
404	0.640063254
405	0.639938527
406	0.639897985
407	0.6397796187
408	0.6397515075
409	0.6396763459
410	0.6396398781
411	0.6395819776
412	0.6395068633
413	0.6394120458
414	0.6392867886
415	0.6391993481
416	0.6391405996
417	0.6390591568
418	0.6390329478
419	0.6390004349
420	0.6389067848
421	0.638779117
422	0.6386588603
423	0.6385876617
424	0.6385507176
425	0.6384860216
426	0.6384121971
427	0.638314215
428	0.638244879
429	0.6381069728
430	0.6380260542
431	0.6379764171
432	0.6379335158
433	0.6378604882
434	0.6377829784
435	0.6377234027
436	0.6376355454
437	0.6375910071
438	0.6375023175
439	0.6374228753
440	0.6373767009
441	0.6373079197
442	0.6372255194
443	0.6371470224
444	0.6370417458
445	0.6369503208
446	0.6368657074
447	0.6367056122
448	0.6365995511
449	0.6365765083
450	0.6364675165
451	0.636408083
452	0.6363748623
453	0.6362690598
454	0.636173614
455	0.6361020332
456	0.6360755935
457	0.6359545256
458	0.6358870415
459	0.6358207102
460	0.635748059
461	0.6356553605
462	0.6355877882
463	0.6355182622
464	0.6354502536
465	0.6354466	0.6466	0.6353467	0.6467	0.6353468	0.6468	0.6352469	0.469	0.63518470	0.470	0.63515471	0.471	0.63501472	0.472	0.63495473	0.473	0.63487474	0.474	0.6347510606
475	0.63465901
476	0.6345661684
477	0.6345012102
478	0.6344344585
479	0.6343570055
480	0.6342213244
481	0.6341587948
482	0.6340747604
483	0.6339647542
484	0.6339113954
485	0.6338208493
486	0.6337351083
487	0.6336373393
488	0.633566139
489	0.6334478927
490	0.6334038627
491	0.6333554784
492	0.633325501
493	0.6332572683
494	0.6331702459
495	0.6331192959
496	0.6330492107
497	0.6329378696
498	0.6328588992
499	0.6327921055
500	0.6327049643
501	0.6325742262
502	0.6325372286
503	0.6324176174
504	0.632348349
505	0.6322790555
506	0.6322145852
507	0.6321781821
508	0.6321373815
509	0.6320934369
510	0.6320106827
511	0.6318856938
512	0.6317670101
513	0.6316618381
514	0.6315887811
515	0.6314807209
516	0.6314087495
517	0.6313430637
518	0.631245619
519	0.6311473227
520	0.6310861748
521	0.6309655465
522	0.6308873075
523	0.6307897453
524	0.6307566718
525	0.6306452534
526	0.6305687385
527	0.630538791
528	0.6304990846
529	0.6304328528
530	0.6303252017
531	0.6302844452
532	0.6302087421
533	0.6301260936
534	0.6300682501
535	0.6299892043
536	0.6298967974
537	0.6298089604
538	0.6297456998
539	0.6297189446
540	0.6296414971
541	0.6295905397
542	0.6295232989
543	0.6294641903
544	0.6293949813
545	0.6293568652
546	0.6292836096
547	0.629226388
548	0.6291937319
549	0.6291212044
550	0.6290257745
551	0.6289289358
552	0.6288736422
553	0.6288112352
554	0.6287017854
555	0.6286733086
556	0.6285929676
557	0.6285147877
558	0.6284486563
559	0.6284045769
560	0.6283141912
561	0.6282496061
562	0.6281775001
563	0.6281157433
564	0.6280326126
565	0.6279266252
566	0.6278788465
567	0.627784326
568	0.6277380786
569	0.6276639047
570	0.62758623
571	0.6275083457
572	0.6274339095
573	0.6273331073
574	0.6272516146
575	0.6271797694
576	0.6271103703
577	0.6270607842
578	0.6269993974
579	0.6269247258
580	0.6268347579
581	0.626746226
582	0.6267000653
583	0.6266527801
584	0.6266087569
585	0.6265354984
586	0.6264720691
587	0.6263907321
588	0.6262987271
589	0.6262477288
590	0.6261735349
591	0.6261235326
592	0.6260854528
593	0.6260282161
594	0.6259532341
595	0.6259132591
596	0.6257581481
597	0.6256928492
598	0.6256753525
599	0.6255562163
